vol,date,parliament
 422,16 May 1979 – 14 June 1979, 39th Parliament: 1st session
 423,15 June 1979 – 13 July 1979, 39th Parliament: 1st session
 424,17 July 1979 – 15 August 1979, 39th Parliament: 1st session
 425,16 August 1979 – 20 September 1979, 39th Parliament: 1st session
 426,21 September 1979 – 25 October 1979, 39th Parliament: 1st session
 427,26 October 1979 – 6 December 1979, 39th Parliament: 1st session
 428,7 December 1979 – 14 December 1979, 39th Parliament: 1st session
 429,15 May 1980 - 11 June 1980, 39th Parliament: 2nd session
 430,12 June 1980 – 8 July 1980, 39th Parliament: 2nd session
431,9 July 1980 – 30 July 1980, 39th Parliament: 2nd session
 432,31 July 1980 – 28 August 1980, 39th Parliament: 2nd session
 433,29 August 1980 – 1 October 1980, 39th Parliament: 2nd session
 434,2 October 1980 – 5 November 1980, 39th Parliament: 2nd session
 435,6 November 1980 – 27 November 1980, 39th Parliament: 2nd session
 436,28 November 1980 – 12 December 1980, 39th Parliament: 2nd session
 437,28 May 1981 – 23 June 1981,39th Parliament: 3rd session
 438,24 June 1981 – 16 July 1981, 39th Parliament: 3rd session
 439,17 July 1981 - 7 August 1981, 39th Parliament: 3rd session
 440,11 August 1981 – 9 September 1981, 39th Parliament: 3rd session
 441,10 September 1981 – 9 October 1981, 39th Parliament: 3rd session
 442,13 October 1981 – 23 October 1981, 39th Parliament: 3rd session
 443,6 April 1982 – 4 May 1982, 40th Parliament: 1st session
 444,5 May 1982 – 30 July 1982, 40th Parliament: 1st session
 445,3 August 1982 – 20 August 1982, 40th Parliament: 1st session
 446,24 August 1982 – 16 September 1982, 40th Parliament: 1st session
 447,17 September 1982 – 15 October 1982, 40th Parliament: 1st session
 448,19 October 1982 – 26 November 1982, 40th Parliament: 1st session
 449,30 November 1982 - 17 December 1982, 40th Parliament: 1st session
 450,7 April 1983 – 4 May 1983, 40th Parliament: 2nd session
 451,31 May 1983 – 18 August 1983, 40th Parliament: 2nd session
 452,19 August 1983 – 14 September 1983, 40th Parliament: 2nd session
 453,15 September 1983 – 20 October 1983, 40th Parliament: 2nd session
 454,21 October 1983 – 18 November 1983, 40th Parliament: 2nd session
 455,22 November 1983 – 16 December 1983, 40th Parliament: 2nd session
 456,31 May 1984 – 14 June 1984, 40th Parliament: 3rd session
 457,15 August 1984 – 3 October 1984, 41st Parliament: 1st session
 458,4 October 1984 – 8 November 1984, 41st Parliament: 1st session
 459,13 November 1984 - 5 December 1984, 41st Parliament: 1st session
 460,6 December 1984 – 20 February 1985, 41st Parliament: 1st session
 461,21 February 1985 – 21 March 1985, 41st Parliament: 1st session
 462,22 March 1985 – 7 June 1985, 41st Parliament: 1st session
 463,11 June 1985 – 11 July 1985, 41st Parliament: 1st session
 464,12 July 1985 – 26 July 1985, 41st Parliament: 1st session
 465,6 August 1985 – 12 September 1985, 41st Parliament: 1st session
 466,17 September 1985 – 23 October 1985, 41st Parliament: 1st session
 467,24 October 1985 – 21 November 1985, 41st Parliament: 1st session
 468,26 November 1985 – 12 December 1985, 41st Parliament: 1st session
 469,26 February 1986 - 26 March 1986, 41st Parliament: 2nd session
 470,8 April 1986 – 29 April 1986, 41st Parliament: 2nd session
 471,27 May 1986 – 19 June 1986, 41st Parliament: 2nd session
 472,1 July 1986 – 17 July 1986, 41st Parliament: 2nd session
 473,29 July 1986 – 14 August 1986, 41st Parliament: 2nd session
 474,9 September 1986 – 2 October 1986, 41st Parliament: 2nd session
 475,14 October 1986 – 26 November 1986, 41st Parliament: 2nd session
 476,27 November 1986 – 11 December 1986, 41st Parliament: 2nd session
 477,16 December 1986 – 12 February 1987, 41st Parliament: 2nd session
 478,17 February 1987 – 12 March 1987, 41st Parliament: 2nd session
 479,17 March 1987 – 9 April 1987, 41st Parliament: 2nd session
 480,28 April 1987 – 4 June 1987, 41st Parliament: 2nd session
 481,9 June 1987 – 24 June 1987, 41st Parliament: 2nd session
 482,30 June 1987 – 29 July 1987, 41st Parliament: 2nd session
 483,16 September 1987 – 15 October 1987,42nd Parliament: 1st session
484,20 October 1987 – 26 November 1987,42nd Parliament: 1st session
485,1 December 1987 – 8 December 1987,42nd Parliament: 1st session
486,16 February 1988 – 3 March 1988,42nd Parliament: 1st session
487,15 March 1988 – 29 March 1988,42nd Parliament: 1st session
488, 19 April 1988 – 5 May 1988, 42nd Parliament: 1st session
489, 7 June 1988 – 30 June 1988, 42nd Parliament: 1st session
490, 12 July 1988 – 28 July 1988, 42nd Parliament: 1st session
491, 9 August 1988 – 25 August 1988, 42nd Parliament: 1st session
492, 6 September 1988 – 6 October 1988, 42nd Parliament: 1st session
493, 11 October 1988 – 10 November 1988, 42nd Parliament: 1st session
494, 15 November 1988 – 24 November 1988, 42nd Parliament: 1st session
495, 6 December 1988 – 13 December 1988, 42nd Parliament: 1st session
496, 21 February 1989 – 21 March 1989, 42nd Parliament: 1st session
497, 11 April 1989 – 4 May 1989, 42nd Parliament: 1st session
498, 16 May 1989 – 1 June 1989, 42nd Parliament: 1st session
499, 11 July 1989 – 27 July 1989, 42nd Parliament: 1st session
500, 8 August 1989 – 24 August 1989, 42nd Parliament: 1st session
501, 5 September 1989 – 21 September 1989, 42nd Parliament: 1st session
502, 3 October 1989 – 16 November 1989, 42nd Parliament: 1st session
503, 21 November 1989 – 5 December 1989, 42nd Parliament: 1st session
504, 12 December 1989 – 12 December 1989, 42nd Parliament: 1st session
505, 14 February 1990 – 15 March 1990, 42nd Parliament: 2nd session
506, 20 March 1990 – 11 April 1990, 42nd Parliament: 2nd session
507, 15 May 1990 – 14 June 1990, 42nd Parliament: 2nd session
508,19 June 1990 – 28 June 1990,42nd Parliament: 2nd session
509,10 July 1990 – 9 August 1990,42nd Parliament: 2nd session
510,14 August 1990 – 6 September 1990,42nd Parliament: 2nd session
511,28 November 1990 – 19 December 1990,43rd Parliament: 1st session
512,22 January 1991 – 6 March 1991,43rd Parliament: 2nd session
513,12 March 1991 – 11 April 1991,43rd Parliament: 2nd session
514,16 April 1991 – 9 May 1991,43rd Parliament: 2nd session
515,28 May 1991 – 13 June 1991,43rd Parliament: 2nd session
516,18 June 1991 – 4 July 1991,43rd Parliament: 2nd session
517,23 July 1991 – 30 July 1991,43rd Parliament: 2nd session
518,5 August 1991 – 22 August 1991,43rd Parliament: 2nd session
519,24 September 1991 – 17 October 1991,43rd Parliament: 2nd session
520,22 October 1991 – 21 November 1991,43rd Parliament: 2nd session
521,26 November 1991 – 17 December 1991,43rd Parliament: 2nd session
522,3 March 1992 – 19 March 1992,43rd Parliament: 2nd session
523,24 March 1992 – 9 April 1992,43rd Parliament: 2nd session
524,22 April 1992 – 7 May 1992,43rd Parliament: 2nd session
525,2 June 1992 – 18 June 1992,43rd Parliament: 2nd session
526,23 June 1992 – 2 July 1992,43rd Parliament: 2nd session
527,21 July 1992 – 30 July 1992,43rd Parliament: 2nd session
528,4 August 1992 – 20 August 1992,43rd Parliament: 2nd session
529,15 September 1992 – 1 October 1992,43rd Parliament: 2nd session
530,6 October 1992 – 22 October 1992,43rd Parliament: 2nd session
531, 10 November 1992 – 26 November 1992, 43rd Parliament: 2nd session
532, 1 December 1992 – 17 December 1992, 43rd Parliament: 2nd session
533, 23 February 1993 – 18 March 1993, 43rd Parliament: 2nd session
534, 23 March 1993 – 27 April 1993, 43rd Parliament: 2nd session
535, 4 May 1993 – 17 June 1993, 43rd Parliament: 2nd session
536,22 June 1993 – 22 July 1993,43rd Parliament: 2nd session
537,27 July 1993 – 19 August 1993,43rd Parliament: 2nd session
538,7 September 1993 – 23 September 1993,43rd Parliament: 2nd session
539,21 December 1993 – 29 March 1994,44th Parliament: 1st session
540, 24 May 1994 – 16 June 1994, 44th Parliament: 1st session
541,21 June 1994 – 14 July 1994,44th Parliament: 1st session
542,23 August 1994 – 15 September 1994,44th Parliament: 1st session
543,27 September 1994 – 20 October 1994,44th Parliament: 1st session
544,8 November 1994 – 24 November 1994,44th Parliament: 1st session
545,29 November 1994 – 8 December 1994,44th Parliament: 1st session
546,28 February 1995 – 23 March 1995,44th Parliament: 1st session
547,28 March 1995 – 8 June 1995,44th Parliament: 1st session
548,13 June 1995 – 20 July 1995,44th Parliament: 1st session
549,25 July 1995 – 17 August 1995,44th Parliament: 1st session
550,12 September 1995 – 5 October 1995,44th Parliament: 1st session
551,10 October 1995 – 30 November 1995,44th Parliament: 1st session
552,5 December 1995 – 19 December 1995,44th Parliament: 1st session
553,20 February 1996 – 21 March 1996,44th Parliament: 1st session
554,26 March 1996 – 2 May 1996,44th Parliament: 1st session
555,7 May 1996 – 13 June 1996,44th Parliament: 1st session
556,18 June 1996 – 25 July 1996,44th Parliament: 1st session
557,30 July 1996 – 27 August 1996,44th Parliament: 1st session
558,12 December 1996 – 6 March 1997,45th Parliament: 1st session
559,11 March 1997 – 1 May 1997,45th Parliament: 1st session
560,6 May 1997 – 12 June 1997,45th Parliament: 1st session
561,17 June 1997 – 10 July 1997,45th Parliament: 1st session
562,22 July 1997 – 14 August 1997,45th Parliament: 1st session
563,2 September 1997 – 25 September 1997,45th Parliament: 1st session
564,14 October 1997 – 13 November 1997,45th Parliament: 1st session
565,18 November 1997 – 9 December 1997,45th Parliament: 1st session
566,17 February 1998 – 10 March 1998,45th Parliament: 1st session
567,17 March 1998 – 7 May 1998,45th Parliament: 1st session
568,12 May 1998 – 28 May 1998,45th Parliament: 1st session
569,16 June 1998 – 30 June 1998,45th Parliament: 1st session
570,21 July 1998 – 13 August 1998,45th Parliament: 1st session
571,18 August 1998 – 17 September 1998,45th Parliament: 1st session
572,22 September 1998 – 5 November 1998,45th Parliament: 1st session
573, 10 November 1998 – 24 November 1998, 45th Parliament: 1st session
574,1 December 1998 – 17 December 1998,45th Parliament: 1st session
575,16 February 1999 – 18 March 1999,45th Parliament: 1st session
576,23 March 1999 – 29 April 1999,45th Parliament: 1st session
577,4 May 1999 – 27 May 1999,45th Parliament: 1st session
578,1 June 1999 – 1 July 1999,45th Parliament: 1st session
579,13 July 1999 – 26 August 1999,45th Parliament: 1st session
580,31 August 1999 – 5 October 1999,45th Parliament: 1st session
581,20 December 1999 – 24 February 2000,46th Parliament: 1st session
582,29 February 2000 – 30 March 2000,46th Parliament: 1st session
583,4 April 2000 – 18 May 2000,46th Parliament: 1st session
584,23 May 2000 – 22 June 2000,46th Parliament: 1st session
585,27 June 2000 – 3 August 2000,46th Parliament: 1st session
586,8 August 2000 – 24 August 2000,46th Parliament: 1st session
587,5 September 2000 – 5 October 2000,46th Parliament: 1st session
588,10 October 2000 – 23 November 2000,46th Parliament: 1st session
589,28 November 2000 – 13 December 2000,46th Parliament: 1st session
590,13 February 2001 – 15 March 2001,46th Parliament: 1st session
591,20 March 2001 – 3 May 2001,46th Parliament: 1st session
592,8 May 2001 – 14 June 2001,46th Parliament: 1st session
593,19 June 2001 – 2 August 2001,46th Parliament: 1st session
594,7 August 2001 – 6 September 2001,46th Parliament: 1st session
595,11 September 2001 – 10 October 2001,46th Parliament: 1st session
596,16 October 2001 – 15 November 2001,46th Parliament: 1st session
597,27 November 2001 – 18 December 2001,46th Parliament: 1st session
598,12 February 2002 – 14 March 2002,46th Parliament: 1st session
599,19 March 2002 – 24 April 2002,46th Parliament: 1st session
600,30 April 2002 – 23 May 2002,46th Parliament: 1st session
601,28 May 2002 – 11 June 2002,46th Parliament: 1st session
602,26 August 2002 – 19 September 2002,47th Parliament: 1st session
603,1 October 2002 – 7 November 2002,47th Parliament: 1st session
604,12 November 2002 – 5 December 2002,47th Parliament: 1st session
605,10 December 2002 – 17 December 2002,47th Parliament: 1st session
606,11 February 2003 - 6 March 2003,47th Parliament: 1st session
607,18 March 2003 - 10 April 2003,47th Parliament: 1st session
608,29 April 2003 - 22 May 2003,47th Parliament: 1st session
609,10 June 2003 - 1 July 2003,47th Parliament: 1st session
610,22 July 2003 - 14 August 2003,47th Parliament: 1st session
611,26 August 2003 - 18 September 2003,47th Parliament: 1st session
612,8 October 2003 - 21 October 2003,47th Parliament: 1st session
613,4 November 2003 - 20 November 2003,47th Parliament: 1st session
614,2 December 2003 - 16 December 2003,47th Parliament: 1st session
615,10 February 2004 - 4 March 2004,47th Parliament: 1st session
616,16 March 2004 - 8 April 2004,47th Parliament: 1st session
617,4 May 2004 - 27 May 2004,47th Parliament: 1st session
618,15 June 2004 - 29 July 2004,47th Parliament: 1st session
619,3 August 2004 - 2 September 2004,47th Parliament: 1st session
620,7 September 2004 - 14 October 2004,47th Parliament: 1st session
621,19 October 2004 - 16 September 2004,47th Parliament: 1st session
622,30 November 2004 - 14 December 2004,47th Parliament: 1st session
623,1 March 2005 - 3 March 2005,47th Parliament: 1st session
624,8 March 2005 - 7 April 2005,47th Parliament: 1st session
625,12 April 2005 - 19 May 2005,47th Parliament: 1st session
626,31 May 2005 - 14 June 2005,47th Parliament: 1st session
627,21 June 2005 - 2 August 2005,47th Parliament: 1st session
628,7 November 2005 - 13 December 2005,48th Parliament: 1st session
629,14 February 2006 - 16 March 2006,48th Parliament: 1st session
630,21 March 2006 - 4 May 2006,48th Parliament: 1st session
631,9 May 2006 - 15 June 2006,48th Parliament: 1st session
632,20 June 2006 - 27 July 2006,48th Parliament: 1st session
633,1 August 2006 - 7 September 2006,48th Parliament: 1st session
634,12 September 2006 - 26 October 2006,48th Parliament: 1st session
635,7 November 2006 - 23 November 2006,48th Parliament: 1st session
636,5 December 2006 - 12 December 2006,48th Parliament: 1st session
637,13 February 2007 - 15 March 2007,48th Parliament: 1st session
638,20 March 2007 - 3 May 2007,48th Parliament: 1st session
639,8 May 2007 - 14 June 2007,48th Parliament: 1st session
640,19 June 2007 - 26 July 2007,48th Parliament: 1st session
641,7 August 2007 - 6 September 2007,48th Parliament: 1st session
642,11 September 2007 - 18 October 2007,48th Parliament: 1st session
643,23 October 2007 - 22 November 2007,48th Parliament: 1st session
644,4 December 2007 - 18 December 2007,48th Parliament: 1st session
645,12 February 2008 - 13 March 2008,48th Parliament: 1st session
646,18 March 2008 - 17 April 2008,48th Parliament: 1st session
647,13 May 2008 - 19 June 2008,48th Parliament: 1st session
648,24 June 2008 - 31 July 2008,48th Parliament: 1st session
649,5 August 2008 - 2 September 2008,48th Parliament: 1st session
650,9 September 2008 - 23 September 2008,48th Parliament: 1st session
651,8 December 2008 - 16 December 2008,49th Parliament: 1st session
652,10 February 2009 - 12 March 2009,49th Parliament: 1st session
653,24 March 2009 - 30 April 2009,49th Parliament: 1st session
654,5 May 2009 - 4 June 2009,49th Parliament: 1st session
655,2 June 2009 - 2 July 2009,49th Parliament: 1st session
656,21 July 2009 - 20 August 2009,49th Parliament: 1st session
657,25 August 2009 - 24 September 2009,49th Parliament: 1st session
658,13 October 2009 - 29 October 2009,49th Parliament: 1st session
659,17 November 2009 - 16 December 2009,49th Parliament: 1st session
660,9 February 2010 - 23 February 2010,49th Parliament: 1st session
661,16 March 2010 - 30 March 2010,49th Parliament: 1st session
662,20 April 2010 - 6 May 2010,49th Parliament: 1st session
663,18 May 2010 - 3 June 2010,49th Parliament: 1st session
664,15 June 2010 - 1 July 2010,49th Parliament: 1st session
665,20 July 2010 - 19 August 2010,49th Parliament: 1st session
666,24 August 2010 - 16 September 2010,49th Parliament: 1st session
667,21 September 2010 - 21 October 2010,49th Parliament: 1st session
668,26 October 2010 - 16 November 2010,49th Parliament: 1st session
669,23 November 2010 - 15 December 2010,49th Parliament: 1st session
670,8 February 2011 - 17 March 2011,49th Parliament: 1st session
671,22 March 2011 - 12 April 2011,49th Parliament: 1st session
672,3 May 2011 - 19 May 2011,49th Parliament: 1st session
673,7 June 2011 - 7 July 2011,49th Parliament: 1st session
674,12 July 2011 - 11 August 2011,49th Parliament: 1st session
675,16 August 2011 - 15 September 2011,49th Parliament: 1st session
676,27 September 2011 - 6 October 2011,49th Parliament: 1st session
677,20 December 2011 - 1 March 2012,50th Parliament: 1st session
678,6 March 2012 - 29 March 2012,50th Parliament: 1st session
679,3 April 2012 - 10 May 2012,50th Parliament: 1st session
680,22 May 2012 - 14 June 2012,50th Parliament: 1st session
681,19 June 2012 - 19 July 2012,50th Parliament: 1st session
682,24 July 2012 - 16 August 2012,50th Parliament: 1st session
683,21 August 2012 - 13 September 2012,50th Parliament: 1st session
684,18 September 2012 - 18 October 2012,50th Parliament: 1st session
685,23 October 2012 - 15 November 2012,50th Parliament: 1st session
686,27 November 2012 - 12 December 2012,50th Parliament: 1st session
687,29 January 2013 - 28 February 2013,50th Parliament: 1st session
688,12 March 2013 - 28 March 2013,50th Parliament: 1st session
689,9 April 2013 - 8 May 2013,50th Parliament
690,14 May 2013 - 6 June 2013,50th Parliament
691,11 June 2013 - 2 July 2013,50th Parliament
692,9 July 2013 - 22 August 2013,50th Parliament
693,27 August 2013 - 26 September 2013,50th Parliament
694,15 October 2013 - 14 November 2013,50th Parliament
695,19 November 2013 - 11 December 2013,50th Parliament
696,28 January 2014 - 6 March 2014,50th Parliament
697,11 March 2014 - 10 April 2014,50th Parliament
698,15 April 2014 - 15 May 2014,50th Parliament
699,20 May 2014 - 26 June 2014,50th Parliament
700,1 July 2014 - 31 July 2014,50th Parliament
701,20 October 2014 - 6 November 2014,51st Parliament
702,25 November 2014 - 10 December 2014,51st Parliament
703,10 February 2015 - 12 March 2015,51st Parliament
704,17 March 2015 - 30 April 2015,51st Parliament
705,5 May 2015 - 28 May 2015,51st Parliament
706,2 June 2015 - 2 July 2015,51st Parliament
707,21 July 2015 - 20 August 2015,51st Parliament
708,25 August 2015 - 17 September 2015,51st Parliament
709,22 September 2015 - 5 November 2015,51st Parliament
710,10 November 2015 - 9 December 2015,51st Parliament
711,9 February 2016 - 10 March 2016,51st Parliament
712,15 March 2016 - 7 April 2016,51st Parliament
713,12 April 2016 - 12 May 2016,51st Parliament
714,24 May 2016 - 9 June 2016,51st Parliament
715,14 June to 7 July 2016,
716,9 August to 8 September 2016,
717,13 September to 20 October 2016,
718,1 November to 17 November 2016,
719,29 November to 14 December 2016,
720, 7 February to 16 March 2017,
721, 21 March to 4 May 2017,
722,9 May to 1 June 2017,
723, 6 June to 6 July 2017,
724,  25 July to 17 August 2017,
725,7 November to 30 November 2017,
726,5 December to 20 December 2017,
